"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1848269849124012413","Sun Nov 03 15:33:36 +0000 2024","0","@iyewna cantik sekali kakak Yena makasih ya sudah support aespa! ","1853098206848328021","","iyewna","in","ㅤChérie ‘n lassdor, o.O! ♡⑅","0","0","0","https://x.com/wizter/status/1853098206848328021","1342488308652240896","wizter"
"1853074598952337500","Sun Nov 03 15:32:52 +0000 2024","0","@swandaisies @aespa_official LUCU BANGETTTTTTT","1853098022093435283","","swandaisies","in","","0","0","0","https://x.com/snowwyicy/status/1853098022093435283","1712119274452738048","snowwyicy"
"1853087422269243570","Sun Nov 03 15:32:28 +0000 2024","0","@dazzlingaquaaa Who jimin udah bertahan lama di global top 10 sejak rilis dan stabil juga di billboard hot 100 top 50 Okay selain apt lagu mana yg ngechart di melon dan ngechart juga di spotify global? Spotify indo deh minimal. Lagu aespa yg supernova aja ga masuk spotify indo","1853097925070733813","","dazzlingaquaaa","in","donotfollow","0","0","0","https://x.com/yoonchaecat/status/1853097925070733813","1563056382055956487","yoonchaecat"
"1853058142306963949","Sun Nov 03 15:31:43 +0000 2024","0","@BA_KEK_OK @llOPPIBEAR saya baca pake nada aespa.","1853097733906891113","","BA_KEK_OK","in","open. langsung kirim form saja","0","0","0","https://x.com/douvart/status/1853097733906891113","1398637466920181766","douvart"
"1853097623613575543","Sun Nov 03 15:31:17 +0000 2024","0","Aespa cantik semua bingung aku tuh","1853097623613575543","","","in","","0","0","0","https://x.com/MinWannie/status/1853097623613575543","1264236221628178432","MinWannie"
"1851648587517804621","Sun Nov 03 15:31:15 +0000 2024","0","@yimin Gw bersihin dorm aespa mmh bersihin dorm enhypen? ‍↔️ Apa udah waktunya gw nyanyi enchanted sejam..? Janji gak encok mah..? ","1853097615636013301","","yimin","in","Sakai Moka. ","0","0","0","https://x.com/Sungxhoon/status/1853097615636013301","438157432","Sungxhoon"
"1853097545658163411","Sun Nov 03 15:30:58 +0000 2024","0","Wesss bentar lagi debut di hyperlink aespa wkwkw","1853097545658163411","","","in","","0","0","0","https://x.com/cultozy/status/1853097545658163411","1501962373321859073","cultozy"
"1848293615858340264","Sun Nov 03 15:30:53 +0000 2024","0","@Yiremn kakaaak cantin banget pakai twibbonnya makasih ya sudah support aespa terus! ini keren karena dukungan kakak sih jadi makin keren gini kitaa :p aku semangat bangeeet promosinya amin aku ngga sabar nunggu waktu kita bisa challenge bareng ️","1853097523004748097","","Yiremn","in","ㅤChérie ‘n lassdor, o.O! ♡⑅","0","0","0","https://x.com/wizter/status/1853097523004748097","1342488308652240896","wizter"
"1853051249291346361","Sun Nov 03 15:29:55 +0000 2024","0","@Biajnca Aku Hanni aespa ","1853097283342204934","","Biajnca","in","Marianne Kielle","0","0","0","https://x.com/fripay/status/1853097283342204934","430658163","fripay"
"1853094766453674435","Sun Nov 03 15:28:37 +0000 2024","0","fans jaman sekarang cepet bgt besar-besarin masalah udah tau anak-anak aespa tuh pada straightforward kok salah satu grup yg kalo ngomong tuh menurut gue gak di sugarcoating makanya gue demen bgt karena fresh liatnya jadi kalo misal mereka aja gak mempermasalahkan","1853096955863605273","","tokyodriftl","in","","0","1","0","https://x.com/tokyodriftl/status/1853096955863605273","1140284827247104000","tokyodriftl"
